"names","UFE16635.1_Brassica_campestris_chinensis_coguvirus1_Coguvirus","AST13126.1_Citrus_concave_gum-associated_virus_Coguvirus","QVE55493.1_Watermelon_crinkle_leaf-associated_virus1_Coguvirus","AYN78569.1_Citrus_virusA_Coguvirus","QIJ25705.1_Grapevine_associated_cogu-like_virus1_Coguvirus","QVE55495.1_Watermelon_crinkle_leaf-associated_virus2_Coguvirus","QVU28733.1_Yunnan_Paris_negative-stranded_virus_Coguvirus","QCF40769.1_Entoleuca_phenui-like_virus1_Entovirus","QIJ25708.1_Grapevine_associated_cogu-like_virus2_Laulavirus","QIJ25711.1_Grapevine_associated_cogu-like_virus3_Laulavirus","QMP81964.1_Grapevine_associated_cogu-like_virus4_Laulavirus","AUW34409.1_Laurel_Lake_virus_Laulavirus","BBI93119.1_Lentinula_edodes_virus2_Lentinuvirus","TRINITY_DN8130_c0_g1_i1_MP","QDZ17043.1_Grapevine_Muscat_rose_virus_Rubodvirus","QDZ17040.1_Grapevine_Garan_dmak_virus_Rubodvirus","AWC67528.1_Apple_rubbery_wood_virus2_Rubodvirus","AWC67529.1_Apple_rubbery_wood_virus2_Rubodvirus","AWC67512.1_Apple_rubbery_wood_virus1_Rubodvirus","XCM71197.1_Raspberry_rubodvirus1_Rubodvirus","XCM71199.1_Raspberry_rubodvirus1_Rubodvirus","QFU20031.1_European_wheat_striate_mosaic_virus_Tenuivirus","AUH25695.1_Rice_hoja_blanca_virus_Tenuivirus","NP_620766.1_Orthotospovirus_citrullomaculosi","AEN94893.1_Orthotospovirus_tomatomaculae","NP_619702.1_Groundnut_bud_necrosis_virus","YP_009126737.1_Mulberry_vein_banding_virus","AKC03655.1_Tomato_zonate_spot_virus","YP_717934.1_Melon_yellow_spot_virus"
"UFE16635.1_Brassica_campestris_chinensis_coguvirus1_Coguvirus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AST13126.1_Citrus_concave_gum-associated_virus_Coguvirus",63.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QVE55493.1_Watermelon_crinkle_leaf-associated_virus1_Coguvirus",63.18,70.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AYN78569.1_Citrus_virusA_Coguvirus",64.27,80.71,70.65,,,,,,,,,,,,,,,,,,,,,,,,,,
"QIJ25705.1_Grapevine_associated_cogu-like_virus1_Coguvirus",48.10,50.82,49.73,51.63,,,,,,,,,,,,,,,,,,,,,,,,,
"QVE55495.1_Watermelon_crinkle_leaf-associated_virus2_Coguvirus",63.18,69.02,69.70,68.34,51.63,,,,,,,,,,,,,,,,,,,,,,,,
"QVU28733.1_Yunnan_Paris_negative-stranded_virus_Coguvirus",62.77,67.39,66.03,66.44,50.82,72.28,,,,,,,,,,,,,,,,,,,,,,,
"QCF40769.1_Entoleuca_phenui-like_virus1_Entovirus",50.54,51.49,51.77,52.58,47.42,52.99,51.77,,,,,,,,,,,,,,,,,,,,,,
"QIJ25708.1_Grapevine_associated_cogu-like_virus2_Laulavirus",22.83,23.37,25.54,23.64,28.53,25.41,22.55,20.52,,,,,,,,,,,,,,,,,,,,,
"QIJ25711.1_Grapevine_associated_cogu-like_virus3_Laulavirus",22.83,23.37,25.41,23.64,28.40,25.14,22.55,20.38,95.24,,,,,,,,,,,,,,,,,,,,
"QMP81964.1_Grapevine_associated_cogu-like_virus4_Laulavirus",23.10,23.64,25.54,22.28,28.12,25.14,23.51,20.38,57.88,58.70,,,,,,,,,,,,,,,,,,,
"AUW34409.1_Laurel_Lake_virus_Laulavirus",21.33,23.37,25.54,23.64,28.26,24.59,22.28,20.52,56.11,55.57,53.80,,,,,,,,,,,,,,,,,,
"BBI93119.1_Lentinula_edodes_virus2_Lentinuvirus",46.88,47.55,47.83,47.96,44.70,47.01,45.79,48.64,19.43,19.43,18.34,18.61,,,,,,,,,,,,,,,,,
"TRINITY_DN8130_c0_g1_i1_MP",40.08,40.22,42.53,41.30,36.28,42.26,41.98,42.93,7.61,7.61,6.93,8.42,38.04,,,,,,,,,,,,,,,,
"QDZ17043.1_Grapevine_Muscat_rose_virus_Rubodvirus",38.32,37.77,38.86,38.04,35.87,37.91,38.45,38.86,9.38,9.38,8.42,8.56,36.68,67.26,,,,,,,,,,,,,,,
"QDZ17040.1_Grapevine_Garan_dmak_virus_Rubodvirus",36.68,36.96,37.23,37.91,35.46,38.04,37.91,37.36,9.78,9.78,8.02,8.70,35.19,65.76,77.58,,,,,,,,,,,,,,
"AWC67528.1_Apple_rubbery_wood_virus2_Rubodvirus",37.23,36.82,38.32,37.09,35.60,38.18,38.32,38.45,9.92,9.92,7.74,8.70,35.19,67.26,79.08,90.08,,,,,,,,,,,,,
"AWC67529.1_Apple_rubbery_wood_virus2_Rubodvirus",37.23,35.73,36.96,37.23,34.51,37.36,37.23,38.32,8.97,8.97,7.74,8.83,35.46,64.81,77.45,82.07,82.07,,,,,,,,,,,,
"AWC67512.1_Apple_rubbery_wood_virus1_Rubodvirus",37.23,36.96,37.36,37.36,35.87,38.32,38.18,38.32,9.51,9.51,8.70,9.38,36.01,66.03,76.49,78.26,78.67,77.17,,,,,,,,,,,
"XCM71197.1_Raspberry_rubodvirus1_Rubodvirus",36.01,36.82,37.36,35.73,34.24,36.96,37.23,36.41,9.24,9.24,7.74,7.61,35.60,60.33,60.60,60.33,61.28,60.60,61.68,,,,,,,,,,
"XCM71199.1_Raspberry_rubodvirus1_Rubodvirus",41.30,40.62,44.16,42.39,37.91,41.85,41.30,41.44,9.92,9.92,9.65,8.97,41.85,54.08,53.12,50.82,52.04,50.41,50.41,50.14,,,,,,,,,
"QFU20031.1_European_wheat_striate_mosaic_virus_Tenuivirus",45.11,45.52,47.96,46.74,39.67,47.55,46.33,46.74,11.82,11.96,11.01,11.96,47.01,48.64,46.74,44.70,46.33,44.16,44.16,41.85,49.59,,,,,,,,
"AUH25695.1_Rice_hoja_blanca_virus_Tenuivirus",45.24,45.11,47.96,47.01,40.90,45.79,45.79,46.74,11.14,11.41,11.41,12.09,46.60,49.86,46.74,43.61,45.38,43.75,43.75,40.76,49.73,77.85,,,,,,,
"NP_620766.1_Orthotospovirus_citrullomaculosi",45.38,45.52,49.32,47.69,40.90,46.47,46.06,46.74,14.54,14.40,13.04,12.91,43.89,51.90,48.10,46.60,47.96,46.06,46.74,42.53,49.59,58.83,58.42,,,,,,
"AEN94893.1_Orthotospovirus_tomatomaculae",44.02,45.38,48.64,47.83,40.76,46.06,46.47,46.88,13.32,13.59,12.36,13.18,42.80,52.17,48.23,47.42,48.91,46.88,47.01,42.66,49.32,59.92,59.10,73.78,,,,,
